[DEBUG] [2022-07-16 13:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 06edca15b2344257aa575ab37d344a0f, msgType : 19
[DEBUG] [2022-07-16 13:00:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5b911ea08470446888510f5bbd56260c, msgType : 19
[DEBUG] [2022-07-16 13:00:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : eba1747a23014ff99d1161324ebb22f0, msgType : 19
[DEBUG] [2022-07-16 13:00:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cc88df9eb18c46319c60f44c8e672fec, msgType : 19
[DEBUG] [2022-07-16 13:00:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e71df7d8bc0f437398ed09e6634df75b, msgType : 19
[DEBUG] [2022-07-16 13:00:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cacc975e88d94dc1b3e35c0bfbeba28d, msgType : 19
[DEBUG] [2022-07-16 13:00:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 98d278c6156d4f918c5a31e005c3038c, msgType : 19
[DEBUG] [2022-07-16 13:00:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a49835dbb4c84cf68a20074c5ef880ef, msgType : 18
[DEBUG] [2022-07-16 13:00:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4a4662812e1f4f6aab06f13217157c62, msgType : 18
[INFO] [2022-07-16 13:00:39] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[DEBUG] [2022-07-16 13:00:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : bb3514f9d3ff40389e4517ba94941173, msgType : 19
[DEBUG] [2022-07-16 13:00:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f90856a520b5451690e9a93542e5404b, msgType : 19
[DEBUG] [2022-07-16 13:00:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7196c45426b045ca8b9264aa45ece68f, msgType : 19
[DEBUG] [2022-07-16 13:00:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 940fac38cae34d008303553f383ecb2a, msgType : 19
[DEBUG] [2022-07-16 13:00:44] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3c887599bf314b0c830edeb4b8b5a33c, msgType : 19
[DEBUG] [2022-07-16 13:00:44] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ac77a2785dfc44b0acd81018d80bcc3a, msgType : 19
[DEBUG] [2022-07-16 13:00:46] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0d16a870750a4a189e28779299a6a014, msgType : 19
[DEBUG] [2022-07-16 13:00:46] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8a77a891b7a444de9c9e78add7d8d722, msgType : 19
[DEBUG] [2022-07-16 13:00:48] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 79115dff7e4d49d3b37d1a30d3b405b7, msgType : 19
[DEBUG] [2022-07-16 13:00:48] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8980ea9a61d3409aad5e6df08d55ea95, msgType : 19
[INFO] [2022-07-16 13:00:49] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[DEBUG] [2022-07-16 13:00:50] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a7c76d0bf4f741d0bef3ae4fe1a4c6ca, msgType : 19
[DEBUG] [2022-07-16 13:00:50] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6111161d37014eaeaa8219a1f633d36e, msgType : 19
[DEBUG] [2022-07-16 13:00:52] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 719446515b7547459c7681bc7bb945eb, msgType : 19
[DEBUG] [2022-07-16 13:00:52] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9c52b62bc4d545bf836918b8edce899b, msgType : 19
[DEBUG] [2022-07-16 13:00:54] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b5ff3ff70c3944ea8cfd7d665ce693dd, msgType : 19
[DEBUG] [2022-07-16 13:00:54] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c59ed7c3d93045d7b954311e28178357, msgType : 19
[DEBUG] [2022-07-16 13:00:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b20f3255424a4751adbc78113a7a76dd, msgType : 19
[DEBUG] [2022-07-16 13:00:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fc9af25e174d4579be197c525eaeddf7, msgType : 19
[DEBUG] [2022-07-16 13:00:58] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c47d4464427c48349016efc5e3a7343f, msgType : 19
[DEBUG] [2022-07-16 13:00:58] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3db83ebc2d994888b4e64c28ac4cb019, msgType : 19
[INFO] [2022-07-16 13:00:59] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[DEBUG] [2022-07-16 13:01:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0573a0da76404ae191352299cd52139d, msgType : 19
[DEBUG] [2022-07-16 13:01:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3df54346aa8b42d2a88ece132077964c, msgType : 19
[DEBUG] [2022-07-16 13:01:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a4ee22606e2a4821b7d9d8cfa3f4178c, msgType : 19
[DEBUG] [2022-07-16 13:01:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6e5b91fe4d274badac1f014d1d6427df, msgType : 19
[DEBUG] [2022-07-16 13:01:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : aa60b2af455c4b6499ce3c3a5456c8ce, msgType : 19
[DEBUG] [2022-07-16 13:01:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1e394c22695f4f138149e52a2cab0d17, msgType : 19
[DEBUG] [2022-07-16 13:01:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3842ee7babd548d2860d75fee5a93b58, msgType : 19
[DEBUG] [2022-07-16 13:01:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bba63f21754f49999ba26729a049596e, msgType : 19
[DEBUG] [2022-07-16 13:01:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 28bab81f942f4251ad8060d79772149d, msgType : 19
[DEBUG] [2022-07-16 13:01:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 24da5102d4e34261ae69511209b418ac, msgType : 19
[INFO] [2022-07-16 13:01:09] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[DEBUG] [2022-07-16 13:01:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c7bdff6c8d1e492b96238d327a01d7d3, msgType : 19
[DEBUG] [2022-07-16 13:01:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 42cad87bade14900b5e62ebfd639c173, msgType : 19
[DEBUG] [2022-07-16 13:01:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d59d4d6bbffd47359792e5b5b571d446, msgType : 19
[DEBUG] [2022-07-16 13:01:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6238af526e09403f8bdd9af1cc76e9db, msgType : 19
[DEBUG] [2022-07-16 13:01:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5f1fa5f532ab4b77bdff8b8412d5e1bf, msgType : 19
[DEBUG] [2022-07-16 13:01:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c25e608a9f20486e908809e4f3b45002, msgType : 19
[DEBUG] [2022-07-16 13:01:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 928777f08adf484fa6e8c69b426693f2, msgType : 19
[DEBUG] [2022-07-16 13:01:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3f5e2b1bc3b848f9bf232cb89a276c55, msgType : 19
[DEBUG] [2022-07-16 13:01:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f812492ed3294d6f811c3eda81926a5e, msgType : 19
[DEBUG] [2022-07-16 13:01:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 572d42f556ce41e9a0a7efe107ea184c, msgType : 19
[INFO] [2022-07-16 13:01:19] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[DEBUG] [2022-07-16 13:01:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4b30915641574820904538448d2fd111, msgType : 19
[DEBUG] [2022-07-16 13:01:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0afcf74c30a64e1b9ccc75c6b4d80245, msgType : 19
[DEBUG] [2022-07-16 13:01:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8c84a756f3fb456fb7ca4ace0a389c87, msgType : 19
[DEBUG] [2022-07-16 13:01:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5974352bccdb49c7a8e2533f95a0351e, msgType : 19
[DEBUG] [2022-07-16 13:01:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fbabc626a79841ef93206f1bf7ecb5f3, msgType : 19
[DEBUG] [2022-07-16 13:01:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : aaf3c6e37c134dcb9ede7fc5fea151f0, msgType : 19
[DEBUG] [2022-07-16 13:01:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6b672b392ed347d4bb28aae705889bc4, msgType : 19
[DEBUG] [2022-07-16 13:01:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fb7f3cea08394fb1bf6a60e67926769f, msgType : 19
[DEBUG] [2022-07-16 13:01:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fcedaba481ce4557927acdf9845882b1, msgType : 19
[DEBUG] [2022-07-16 13:01:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9d509e858b554f3bbf774ff48ebdec19, msgType : 19
[INFO] [2022-07-16 13:01:29] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[DEBUG] [2022-07-16 13:01:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 92a26e7247e44dd69b447442ff0dcccf, msgType : 19
[DEBUG] [2022-07-16 13:01:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9665bb24815c49ea8565530b5546c31e, msgType : 19
[DEBUG] [2022-07-16 13:01:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 07bcdb2fb43046aca856286dcfa6ec9c, msgType : 19
[DEBUG] [2022-07-16 13:01:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 71696864013347b5bb6fe58b4edd16bc, msgType : 19
[DEBUG] [2022-07-16 13:01:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1c9925d75e1b4a0f9876fc1d57b467aa, msgType : 19
[DEBUG] [2022-07-16 13:01:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f7f8d2aabfe04ea19f362c11baade8e2, msgType : 19
[DEBUG] [2022-07-16 13:01:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a6e12908ba764e5e8893557e77189c6e, msgType : 19
[DEBUG] [2022-07-16 13:01:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 562cb7119e2f42e7839081d0b9009acf, msgType : 19
[DEBUG] [2022-07-16 13:01:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 14b917ff72ff4939b84d61cd6a42ef44, msgType : 19
[DEBUG] [2022-07-16 13:01:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7af7a70c004e491eb84a0c20462b276c, msgType : 19
[DEBUG] [2022-07-16 13:01:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a564cd709ff342da82b393528ac6a664, msgType : 18
[DEBUG] [2022-07-16 13:01:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b493232bd6a54e70ac5d8828a3e5aeba, msgType : 18
[INFO] [2022-07-16 13:01:39] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[DEBUG] [2022-07-16 13:01:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d284c077da5549288521c56c3449db78, msgType : 19
[DEBUG] [2022-07-16 13:01:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5e39c54dd5bc4caca1a9a93b19e06b16, msgType : 19
[DEBUG] [2022-07-16 13:01:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d8e4382fe8d04d4aa1ee2a920eb6000a, msgType : 19
[DEBUG] [2022-07-16 13:01:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8554075a1f73437ea7ca9db51e6bb78c, msgType : 19
[DEBUG] [2022-07-16 13:01:44] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9d7f29c325f44fb4a1c4dd194b0698b1, msgType : 19
[DEBUG] [2022-07-16 13:01:44] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : abd9b8a675284c21980e4ed8b4d2d5c0, msgType : 19
[DEBUG] [2022-07-16 13:01:46] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e8c8b6f911514116834022c99366f15a, msgType : 19
[DEBUG] [2022-07-16 13:01:46] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 70f3a65592da45b4ae2120febd1288bf, msgType : 19
[DEBUG] [2022-07-16 13:01:48] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fa52f4a2ef2e4f7d8cd39014df9d6541, msgType : 19
[DEBUG] [2022-07-16 13:01:48] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5dba157ffc2c442ba80ca7309dee064b, msgType : 19
[INFO] [2022-07-16 13:01:49] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[DEBUG] [2022-07-16 13:01:50] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d623956c166241e7b598325801e432ff, msgType : 19
[DEBUG] [2022-07-16 13:01:50] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 33554156d1ba4af9a75864434527dad6, msgType : 19
[DEBUG] [2022-07-16 13:01:52] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 190fb7c8d43c40d9916b6f0a7b8c4a78, msgType : 19
[DEBUG] [2022-07-16 13:01:52] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c01d906bde3f4a7896fbf679bd97d72b, msgType : 19
[DEBUG] [2022-07-16 13:01:54] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2f7ad4d526334febbd34aae983f84555, msgType : 19
[DEBUG] [2022-07-16 13:01:54] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9ef362ad934449e08a747603982362db, msgType : 19
[DEBUG] [2022-07-16 13:01:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5cd72091744d4625b1bd04bf38349a05, msgType : 19
[DEBUG] [2022-07-16 13:01:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 38aa775357f64ebda51c22bd8ef2efb8, msgType : 19
[DEBUG] [2022-07-16 13:01:58] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 12145b3db79143978f8a0fd0132d22f5, msgType : 19
[DEBUG] [2022-07-16 13:01:58] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 278bee8d423149b6938cc9d97d8d7e49, msgType : 19
[INFO] [2022-07-16 13:01:59] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[DEBUG] [2022-07-16 13:02:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0f50e54bd8984110885c6a9045ec271a, msgType : 19
[DEBUG] [2022-07-16 13:02:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cf72ec6764654487b054aaa8790cff1b, msgType : 19
